4,Rue Paul Doumer,0,9998,0,9999,2.480333;48.836689,2.480333;48.836689
4,Rue Pierre Brossolette,0,9998,0,9999,2.484668;48.836185,2.484668;48.836185
4,Rue Saint Sébastien,0,9998,0,9999,2.485479;48.837565,2.485479;48.837565
4,Rue Sainte Anne,0,9998,0,9999,2.484889;48.837276,2.484889;48.837276
5,Grande Rue Charles de Gaulle,0,9998,1,65,2.483697;48.836991,2.481767;48.83645
5,Grande Rue Charles de Gaulle,2,74,0,9999,2.483697;48.836991,2.483697;48.836991
5,Rue de Beauté,0,9998,0,9999,2.479201;48.835123,2.479201;48.835123
5,Rue dela Muette,0,9998,0,9999,2.481044;48.835253,
5,Villa.Clémence Henriette,0,9998,0,9999,2.477844;48.834356,2.477844;48.834356
6,Avenue de Joinville,0,9998,1,15,2.473673;48.835116,2.470514;48.832287
6,Avenue de Joinville,2,12,0,9999,2.472879;48.834891,2.468848;48.830972
6,Avenue de la Belle Gabrielle,32,38,0,9999,2.469906;48.835933,2.467662;48.83402
6,Avenue de la Belle Gabrielle,0,9998,33,37,2.469867;48.835627,2.46963;48.834717
6,Avenue des Marronniers,0,9998,1,11 B,2.471028;48.833061,2.470703;48.836312
6,Avenue des Marronniers,2,10,0,9999,2.471579;48.834988,2.470703;48.836312
6,Avenue Duvelleroy,0,9998,0,9999,2.475083;48.834546,2.475083;48.834546
6,Avenue Wadeau,0,9998,0,9999,2.472077;48.833057,2.476877;49.27318
6,Avenue dela Source,0,9998,1,11 B,2.470779;48.835444,2.470509;48.834101
6,Avenue de la Source,2,16,0,9999,2.470636;48.835938,2.470324;48.833991
6,Avenue Suzanne,0,9998,0,9999,2.475949;48.834803,2.475949;48.834803
6,Avenue Victor Hugo,0,9998,0,9999,2.474106;48.833881,2.474106;48.833881
6,Place du Général Leclerc,0,9998,0,9999,2.472928;48.835147,2.472928;48.835147
6,Rue François Rolland,0,9998,1,25,2.478406;48.833982,2.478406;48.833982
6,Rue François Rolland,2,54,0,9999,2.475452;48.833507,2.478586;48.833998
6,Rue Victor Beech,0,9998,1,33,2.47402;48.835073,2.475143;48.833903
6,Rue Victor Basch,2,12,0,9999,2.473946;48.835049,2.475143;48.833903
6,Villa Sainte Marthe,0,9998,0,9999,2.476478;48.834183,2.476478;48.834183
7,Allée des Epivans,0,9998,0,9999,2.48406;48.842914,2.48406;48.842914
7,Boulevard de Strasbourg,0,9998,67,145,2.481325;48.840242,2.484822;48.842766
7,Boulevard Georges V,0,9998,0,9999,2.48183;48.84192,2.476877;49.27318
7,Route de Stalingrad,0,9998,0,9999,2.479858;48.841891,2.479858;48.841891
7,Rue des Angles,0,9998,0,9999,2.476769;48.84246,2.476769;48.84246
7,Rue du Fort,0,9998,0,9999,2.481651;48.840509,2.481651;48.840509
7,Rue Guillaume—Achille Vivier,0,9998,0,9999,2.478872;48.842412,2.478872;48.842412
7,Rue Paul Bert,48,9998,0,9999,2.481487;48.839736,2.48302;48.838616
7,Rue Paul Bert,0,9998,61,9999,2.4814;48.839702,2.48302;48.838616
7,Sentier sous Chateaudun,0,9998,0,9999,2.479753;48.840579,
8,Rue Brillet,0,9998,0,9999,2.48155;48.838455,2.48155;48.838455
8,Rue des Héros Nogentais,0,9998,7,35,2.482592;48.837556,2.485515;48.838145
8,Rue des Héros Nogentais,14,34,0,9999,2.482944;48.837569,2.484054;48.837911
8,Rue Gustave Lebègue,0,9998,0,9999,2.481756;48.837679,2.481756;48.837679
8,Rue Guy Moquet,0,9998,0,9999,2.483653;48.839135,2.483653;48.839135
8,Rue Paul Bert,0,9998,13,59,2.483972;48.838202,2.481646;48.8395
8,Rue Paul Bert,20,46,0,9999,2.484118;48.838225,2.482033;48.839308
8,Rue Thiers,0,9998,1,5,2.484374;48.8383,2.485657;48.840224
8,Rue Thiers,2,4,0,9999,2.484443;48.838269,2.484543;48.838337
9,Boulevard de Strasbourg,0,9998,1,53,2.473598;48.835711,2.479215;48.838975
9,Boulevard de Strasbourg,2,50,0,9999,2.474761;48.835764,2.481325;48.840242
9,Rue du Commandant Marchand,0,9998,0,9999,2.476447;48.838031,2.476447;48.838031
9,Rue Emile Brisson,0,9998,0,9999,2.477489;48.837226,2.477489;48.837226
9,Rue Gabriel Péri,0,9998,0,9999,2.476619;48.836546,2.476619;48.836546
9,Rue Jean Moulin,0,9998,0,9999,2.47733;48.836735,0.788832;48.312962
